0.01	14054	0.013396
0.02	35527	0.047613
0.03	44192	0.071961
0.04	45819	0.086213
0.05	44998	0.093523
0.06	43476	0.096905
0.07	42046	0.098343
0.08	40881	0.099151
0.09	39946	0.099418
0.1	39218	0.099538
0.11	38613	0.09949
0.12	38109	0.099576
0.13	37726	0.099519
0.14	37381	0.099504
0.15	37043	0.099605
0.16	36809	0.099504
0.17	36569	0.099581
0.18	36332	0.099514
0.19	36156	0.099504
0.2	35976	0.099576
0.21	35808	0.099519
0.22	35634	0.099495
0.23	35463	0.099614
0.24	35338	0.099514
0.25	35185	0.099552
0.26	35074	0.099528
0.27	34950	0.09948
0.28	34851	0.099543
0.29	34747	0.099519
0.3	34647	0.099485
0.31	34562	0.099543
0.32	34481	0.099485
0.33	34380	0.099523
0.34	34295	0.099552
0.35	34223	0.09949
0.36	34153	0.099566
0.37	34076	0.099466
0.38	33994	0.099562
0.39	33934	0.099485
0.4	33861	0.099547
0.41	33789	0.099514
0.42	33724	0.0995
0.43	33634	0.099562
0.44	33579	0.09948
0.45	33516	0.099566
0.46	33456	0.099471
0.47	33405	0.099557
0.48	33342	0.099495
0.49	33278	0.099571
0.5	33233	0.099519
0.51	33189	0.099485
0.52	33131	0.099514
0.53	33095	0.099514
0.54	33061	0.099457
0.55	33001	0.099586
0.56	32962	0.09948
0.57	32912	0.099504
0.58	32870	0.099514
0.59	32818	0.09948
0.6	32779	0.099528
0.61	32716	0.09949
0.62	32643	0.099552
0.63	32643	0.099538
0.64	32580	0.09949
0.65	32545	0.099571
0.66	32511	0.099533
0.67	32487	0.099495
0.68	32425	0.099538
0.69	32418	0.099519
0.7	32391	0.099471
0.71	32358	0.099552
0.72	32325	0.099452
0.73	32296	0.099624
0.74	32259	0.099457
0.75	32223	0.099609
0.76	32187	0.099504
0.77	32139	0.099552
0.78	32108	0.099476
0.79	32063	0.099605
0.8	32027	0.09948
0.81	31998	0.099543
0.82	31983	0.099523
0.83	31959	0.099471
0.84	31904	0.099514
0.85	31884	0.099509
0.86	31869	0.099495
0.87	31819	0.099581
0.88	31807	0.099538
0.89	31777	0.099504
0.9	31745	0.099595
0.91	31730	0.09949
0.92	31706	0.099605
0.93	31681	0.099514
0.94	31670	0.0995
0.95	31616	0.099552
0.96	31598	0.099519
0.97	31558	0.099447
0.98	31529	0.099547
0.99	31502	0.09949
1	31478	0.099533
1.01	31472	0.099509
1.02	31429	0.099519
1.03	31408	0.099504
1.04	31395	0.099543
1.05	31359	0.099519
1.06	31332	0.099485
1.07	31314	0.099595
1.08	31284	0.099485
1.09	31273	0.09959
1.1	31251	0.099476
1.11	31224	0.099557
1.12	31207	0.099452
1.13	31185	0.099533
1.14	31159	0.099495
1.15	31140	0.099523
1.16	31132	0.099457
1.17	31113	0.099552
1.18	31089	0.099495
1.19	31060	0.099571
1.2	31054	0.099476
1.21	31023	0.099533
1.22	30992	0.099461
1.23	30956	0.099552
1.24	30939	0.099457
1.25	30911	0.099562
1.26	30906	0.099476
1.27	30891	0.099538
1.28	30870	0.09948
1.29	30833	0.099566
1.3	30716	0.099452
1.31	30782	0.099566
1.32	30771	0.099461
1.345	30734	0.099523
1.39	30647	0.099506
1.44	30562	0.09949
1.495	30456	0.099481
1.555	30392	0.099507
1.61	30293	0.09952
1.67	30192	0.099516
1.735	30094	0.099499
1.8	29997	0.099504
1.87	29850	0.099512
1.94	29789	0.09951
2.01	29684	0.099488
2.085	29602	0.099541
2.165	29494	0.099511
2.245	29397	0.099517
2.33	29303	0.099526
2.42	29199	0.099526
2.51	29098	0.099512
2.605	28986	0.099508
2.705	28899	0.099521
2.81	28801	0.099536
2.915	28698	0.099531
3.025	28584	0.099526
3.14	28495	0.0995
3.255	28396	0.099506
3.38	28295	0.099505
3.51	28177	0.099506
3.645	28072	0.099494
3.785	27969	0.099498
3.925	27846	0.099497
4.07	27752	0.099507
4.225	27640	0.099521
4.385	27533	0.099517
4.55	27430	0.099501
4.725	27313	0.099515
4.905	27203	0.099509
5.09	27098	0.099498
5.285	26979	0.099499
5.485	26874	0.099487
5.69	26766	0.099496
5.905	26650	0.099489
6.13	26536	0.099508
6.365	26417	0.099503
6.605	26309	0.099499
6.855	26193	0.099502
7.115	26074	0.099481
7.38	25969	0.099509
7.66	25852	0.099483
7.95	25727	0.099486
8.25	25609	0.099492
8.565	25496	0.099496
8.89	25380	0.099495
9.225	25255	0.099491
9.575	25131	0.099488
9.94	25000	0.099494
10.315	24883	0.099495
10.705	24758	0.099494
11.11	24637	0.099494
11.53	24515	0.099481
11.97	24383	0.099478
12.425	24258	0.099477
12.895	24130	0.099481
13.385	24005	0.099453
13.89	23872	0.099449
14.415	23745	0.099466
14.965	23626	0.099465
15.53	23508	0.099477
16.115	23385	0.099493
16.725	23256	0.0995
17.36	23130	0.099491
18.02	22983	0.099498
18.705	22841	0.099513
19.415	22711	0.099496
20.15	22567	0.099494
20.915	22436	0.099497
21.705	22302	0.099485
22.525	22170	0.099494
23.38	22015	0.099483
24.265	21875	0.099487
25.185	21724	0.099477
26.14	21581	0.099475
27.13	21433	0.099474
28.16	21289	0.099461
29.225	21170	0.099475
30.33	21075	0.099517
31.48	20955	0.099545
32.675	20818	0.099575
33.915	20671	0.09958
35.2	20524	0.099602
36.535	20369	0.09961
37.92	20218	0.099609
39.355	20066	0.099608
40.845	19909	0.099624
42.395	19753	0.099639
44	19590	0.099628
45.665	19432	0.099593
47.4	19269	0.09958
49.2	19094	0.099585
51.06	18926	0.099568
52.995	18779	0.09957
55.005	18621	0.099583
57.085	18454	0.099591
59.25	18291	0.099582
61.5	18118	0.099571
63.83	17945	0.099555
66.245	17834	0.099624
68.755	17704	0.099723
71.365	17532	0.099755
74.07	17357	0.099748
76.875	17190	0.099748
